stratum,slug,formula,http_status,cf_cache_status,title,canonical,h1,meta_robots,ssr_solution_block,ssr_answer,ssr_rule,ssr_steps_count,ssr_step_1,related_count,related_stable_across_renders,expected_derivative,verdict,problems
power,derivative-of-sqrt10-minus-x-minus-to-minus-the-minus-2,sqrt(10-x^2),200,MISS,Derivative of sqrt(10-x^2) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-sqrt10-minus-x-minus-to-minus-the-minus-2,Derivative of sqrt(10)-x-to-the-2,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,-(-x^2+10)^(-1/2)*x,GREEN,
power,derivative-of-sqrtx-minus-to-minus-the-minus-2-minus-2,sqrt(x^2-2),200,MISS,Derivative of sqrt(x^2-2) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-sqrtx-minus-to-minus-the-minus-2-minus-2,Derivative of sqrt(x)-to-the-2-2,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,(-2+x^2)^(-1/2)*x,GREEN,
power,derivative-of-x-minus-to-minus-the-minus-2-minus-minus-minus-x,x^2 - x,200,MISS,Derivative of x^2 - x - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-2-minus-minus-minus-x,Derivative of x-to-the-2---x,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,-1+2*x,GREEN,
power,derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-4,(x^2+2)^4,200,MISS,Derivative of (x^2+2)^4 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-4,Derivative of x-to-the-2-+-2-to-the-4,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,8*(2+x^2)^3*x,GREEN,
power,derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-5,(x^3+3)^5,200,MISS,Derivative of (x^3+3)^5 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-5,Derivative of x-to-the-3-+-3-to-the-5,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,15*(3+x^3)^4*x^2,GREEN,
trig,derivative-of-9sinx,9*sin(x),200,MISS,Derivative of 9*sin(x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-9sinx,Derivative of 9sinx,,yes,Derivative,Power Rule,8,Identify the expression as a power function and apply the power rule.,0,n/a,9*cos(x),GREEN,
trig,derivative-of-cos3x-minus-plus-minus-5,cos(3*x+5),200,MISS,Derivative of cos(3*x+5) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-cos3x-minus-plus-minus-5,Derivative of cos(3x)-+-5,,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,-3*sin(3*x+5),GREEN,
trig,derivative-of-sin7x-minus-plus-minus-cos3x,sin(7*x)+cos(3*x),200,MISS,Derivative of sin(7*x)+cos(3*x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-sin7x-minus-plus-minus-cos3x,Derivative of sin(7x)-+-cos(3x),,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,-3*sin(3*x)+7*cos(7*x),GREEN,
trig,derivative-of-tanx-minus-to-minus-the-minus-5,tan(x)^5,200,MISS,Derivative of tan(x)^5 - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-tanx-minus-to-minus-the-minus-5,Derivative of tan(x)-to-the-5,,yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,5*sec(x)^2*tan(x)^4,GREEN,
trig,derivative-of-x-minus-to-minus-the-minus-2e-minus-to-minus-the-minus-xcosx,x^2*e^x*cos(x),200,MISS,Derivative of x^2*e^x*cos(x) - Instant Step-by-Step Solutions | Derivative Calculator AI,https://derivativecalculatorai.com/derivative-of-x-minus-to-minus-the-minus-2e-minus-to-minus-the-minus-xcosx,Derivative of x-to-the-2e-to-the-xcosx,"noindex, follow",yes,Derivative,Sum Rule,8,Apply the standard differentiation rule for this expression.,0,n/a,-e^x*sin(x)*x^2+2*cos(x)*e^x*x+cos(x)*e^x*x^2,GREEN,
